±â°£,Ç°¸ñ¸í,Ç°¸ñÄÚµå,¼öÃâÁß·®,¼öÀÔÁß·®,¼öÃâ±Ý¾×,¼öÀÔ±Ý¾×,¹«¿ª¼öÁö
2018.09,¿°È­Ä®·ý,3104200000,                   0.0,"              55,009.9",                   0,"              18,472","             -18,472"
2018.10,¿°È­Ä®·ý,3104200000,                   0.2,                  44.5,                   1,                  95,                 -94
2018.11,¿°È­Ä®·ý,3104200000,                   0.1,"              30,927.1",                   1,"              10,423","             -10,422"
2018.12,¿°È­Ä®·ý,3104200000,"              13,280.0","              97,634.5","               4,350","              32,689","             -28,339"
2019.01,¿°È­Ä®·ý,3104200000,                   3.1,"              67,111.2",                   5,"              23,633","             -23,628"
2019.02,¿°È­Ä®·ý,3104200000,                   0.0,"              51,796.6",                   0,"              17,784","             -17,784"
2019.03,¿°È­Ä®·ý,3104200000,                   3.3,"              50,349.2",                   6,"              18,112","             -18,106"
2019.04,¿°È­Ä®·ý,3104200000,                   0.0,"              80,465.7",                   1,"              27,542","             -27,541"
2019.05,¿°È­Ä®·ý,3104200000,                   0.1,"              85,771.0",                   1,"              30,196","             -30,195"
2019.06,¿°È­Ä®·ý,3104200000,                   0.1,"              44,986.4",                   0,"              16,022","             -16,022"
2019.07,¿°È­Ä®·ý,3104200000,                   0.0,"              51,977.0",                   0,"              18,392","             -18,392"
2019.08,¿°È­Ä®·ý,3104200000,                   0.0,"               8,821.6",                   1,"               3,177","              -3,176"
2019.09,¿°È­Ä®·ý,3104200000,                   0.1,"              99,366.4",                   1,"              34,564","             -34,563"
2019.10,¿°È­Ä®·ý,3104200000,                   0.1,"              14,742.5",                   1,"               4,719","              -4,718"
2019.11,¿°È­Ä®·ý,3104200000,                  20.0,"              67,454.3",                   8,"              24,287","             -24,279"
2019.12,¿°È­Ä®·ý,3104200000,                   0.1,"              22,347.4",                   1,"               7,217","              -7,216"
2020.01,¿°È­Ä®·ý,3104200000,                  20.0,"              68,429.3",                   8,"              22,455","             -22,447"
2020.02,¿°È­Ä®·ý,3104200000,                   0.1,"              86,423.8",                   1,"              27,402","             -27,401"
2020.03,¿°È­Ä®·ý,3104200000,                   0.0,"              42,616.8",                   1,"              13,064","             -13,063"
2020.04,¿°È­Ä®·ý,3104200000,                  20.0,"             100,665.4",                   8,"              30,414","             -30,406"
2020.05,¿°È­Ä®·ý,3104200000,                   0.0,"              33,230.9",                   0,"              10,226","             -10,226"
2020.06,¿°È­Ä®·ý,3104200000,                   0.0,"              58,586.2",                   0,"              18,293","             -18,293"
2020.07,¿°È­Ä®·ý,3104200000,                  20.0,"              81,187.4",                   8,"              23,720","             -23,712"
2020.08,¿°È­Ä®·ý,3104200000,                   0.0,"              52,156.4",                   0,"              13,712","             -13,712"
2020.09,¿°È­Ä®·ý,3104200000,                  15.0,"              35,960.6",                   7,"               9,561","              -9,554"
2020.10,¿°È­Ä®·ý,3104200000,                   0.0,"               3,365.6",                   0,"               1,012","              -1,012"
2020.11,¿°È­Ä®·ý,3104200000,                  15.0,"              70,630.4",                   6,"              18,845","             -18,839"
2020.12,¿°È­Ä®·ý,3104200000,                   0.0,"              48,654.1",                   0,"              13,151","             -13,151"
2021.01,¿°È­Ä®·ý,3104200000,                  50.1,"              40,315.5",                  22,"              10,766","             -10,744"
2021.02,¿°È­Ä®·ý,3104200000,                  20.0,"             105,552.2",                   8,"              28,344","             -28,336"
2021.03,¿°È­Ä®·ý,3104200000,                 230.0,"              42,761.7",                  91,"              11,717","             -11,626"
2021.04,¿°È­Ä®·ý,3104200000,                 125.3,"              67,266.3",                  50,"              17,567","             -17,517"
2021.05,¿°È­Ä®·ý,3104200000,                 210.1,"              46,153.6",                  85,"              12,788","             -12,703"
2021.06,¿°È­Ä®·ý,3104200000,                  40.1,"              88,888.7",                  17,"              24,764","             -24,747"
2021.07,¿°È­Ä®·ý,3104200000,                  44.0,"             112,996.7",                  22,"              32,502","             -32,480"
2021.08,¿°È­Ä®·ý,3104200000,                  40.1,"              35,932.1",                  21,"              13,255","             -13,234"
2021.09,¿°È­Ä®·ý,3104200000,                 272.0,"              32,581.2",                 138,"              12,694","             -12,556"
2021.10,¿°È­Ä®·ý,3104200000,                 200.0,"              87,694.3",                 115,"              31,206","             -31,091"
2021.11,¿°È­Ä®·ý,3104200000,                 375.1,"              57,915.4",                 243,"              25,819","             -25,576"
2021.12,¿°È­Ä®·ý,3104200000,                 330.2,"              52,666.9",                 240,"              22,525","             -22,285"
2022.01,¿°È­Ä®·ý,3104200000,                 165.0,"              39,521.9",                 130,"              18,784","             -18,654"
2022.02,¿°È­Ä®·ý,3104200000,                 165.0,"              49,048.4",                 130,"              29,750","             -29,620"
2022.03,¿°È­Ä®·ý,3104200000,                 185.2,"              78,608.4",                 147,"              48,070","             -47,923"
2022.04,¿°È­Ä®·ý,3104200000,                 105.0,"              55,878.3",                  92,"              37,733","             -37,641"
2022.05,¿°È­Ä®·ý,3104200000,                 105.0,"              73,822.6",                  93,"              48,674","             -48,581"
2022.06,¿°È­Ä®·ý,3104200000,                 210.0,"              72,775.7",                 184,"              50,868","             -50,684"
2022.07,¿°È­Ä®·ý,3104200000,                 168.0,"               7,264.0",                 206,"               6,609","              -6,403"
2022.08,¿°È­Ä®·ý,3104200000,                 168.0,"             117,546.3",                 206,"             116,600","            -116,394"
2022.09,¿°È­Ä®·ý,3104200000,                 168.1,"              71,817.0",                 206,"              72,336","             -72,130"
