±â°£,Ç°¸ñ¸í,Ç°¸ñÄÚµå,¼öÃâÁß·®,¼öÀÔÁß·®,¼öÃâ±Ý¾×,¼öÀÔ±Ý¾×,¹«¿ª¼öÁö
2018.09,Åº»êÄ®·ý,2836400000,"               7,347.5",                 120.3,"               5,485",                 119,"               5,366"
2018.10,Åº»êÄ®·ý,2836400000,"               6,887.7",                 231.3,"               5,116",                 212,"               4,904"
2018.11,Åº»êÄ®·ý,2836400000,"               6,754.7",                 261.5,"               5,099",                 227,"               4,872"
2018.12,Åº»êÄ®·ý,2836400000,"               8,003.7",                 159.1,"               6,066",                 191,"               5,875"
2019.01,Åº»êÄ®·ý,2836400000,"               8,951.2",                 351.6,"               6,975",                 309,"               6,666"
2019.02,Åº»êÄ®·ý,2836400000,"               6,047.0",                 203.2,"               4,824",                 193,"               4,631"
2019.03,Åº»êÄ®·ý,2836400000,"              10,083.1",                 249.5,"               7,815",                 233,"               7,582"
2019.04,Åº»êÄ®·ý,2836400000,"               9,700.5",                 241.1,"               7,533",                 213,"               7,320"
2019.05,Åº»êÄ®·ý,2836400000,"              11,046.0",                 159.7,"               8,705",                 152,"               8,553"
2019.06,Åº»êÄ®·ý,2836400000,"               8,104.6",                 120.3,"               6,441",                 109,"               6,332"
2019.07,Åº»êÄ®·ý,2836400000,"               9,956.7",                 260.4,"               7,852",                 237,"               7,615"
2019.08,Åº»êÄ®·ý,2836400000,"               8,518.1",                 141.3,"               6,601",                 138,"               6,463"
2019.09,Åº»êÄ®·ý,2836400000,"               8,579.3",                 320.5,"               6,657",                 300,"               6,357"
2019.10,Åº»êÄ®·ý,2836400000,"               7,685.2",                 275.3,"               6,034",                 247,"               5,787"
2019.11,Åº»êÄ®·ý,2836400000,"               6,584.8",                 160.3,"               5,018",                 149,"               4,869"
2019.12,Åº»êÄ®·ý,2836400000,"               9,434.7",                 321.5,"               7,019",                 290,"               6,729"
2020.01,Åº»êÄ®·ý,2836400000,"              10,335.5",                 103.4,"               7,815",                 100,"               7,715"
2020.02,Åº»êÄ®·ý,2836400000,"               8,923.1",                 262.9,"               6,917",                 243,"               6,674"
2020.03,Åº»êÄ®·ý,2836400000,"              13,085.2",                 341.6,"               9,893",                 330,"               9,563"
2020.04,Åº»êÄ®·ý,2836400000,"              12,268.9",                 282.2,"               9,076",                 248,"               8,828"
2020.05,Åº»êÄ®·ý,2836400000,"              10,056.6",                  92.3,"               7,376",                  98,"               7,278"
2020.06,Åº»êÄ®·ý,2836400000,"               9,948.2",                 370.3,"               7,362",                 323,"               7,039"
2020.07,Åº»êÄ®·ý,2836400000,"               9,972.4",                 125.7,"               7,526",                 129,"               7,397"
2020.08,Åº»êÄ®·ý,2836400000,"               8,371.1",                 272.0,"               6,291",                 237,"               6,054"
2020.09,Åº»êÄ®·ý,2836400000,"               8,223.5",                 340.8,"               6,093",                 295,"               5,798"
2020.10,Åº»êÄ®·ý,2836400000,"               6,913.7",                 364.3,"               5,028",                 339,"               4,689"
2020.11,Åº»êÄ®·ý,2836400000,"               6,719.3",                 169.5,"               4,961",                 166,"               4,795"
2020.12,Åº»êÄ®·ý,2836400000,"               8,060.7",                 264.8,"               5,774",                 240,"               5,534"
2021.01,Åº»êÄ®·ý,2836400000,"               8,353.6",                 302.6,"               5,960",                 271,"               5,689"
2021.02,Åº»êÄ®·ý,2836400000,"               9,922.6",                 252.4,"               6,809",                 235,"               6,574"
2021.03,Åº»êÄ®·ý,2836400000,"              13,646.6",                 171.4,"               9,284",                 181,"               9,103"
2021.04,Åº»êÄ®·ý,2836400000,"              12,475.5",                 170.5,"               8,120",                 184,"               7,936"
2021.05,Åº»êÄ®·ý,2836400000,"               9,102.1",                 269.1,"               5,921",                 259,"               5,662"
2021.06,Åº»êÄ®·ý,2836400000,"              11,410.3",                 325.4,"               7,675",                 302,"               7,373"
2021.07,Åº»êÄ®·ý,2836400000,"              11,123.6",                 141.1,"               7,698",                 128,"               7,570"
2021.08,Åº»êÄ®·ý,2836400000,"              10,945.5",                 224.3,"               7,591",                 210,"               7,381"
2021.09,Åº»êÄ®·ý,2836400000,"              10,725.9",                 261.9,"               7,544",                 230,"               7,314"
2021.10,Åº»êÄ®·ý,2836400000,"              11,001.4",                 262.9,"               8,042",                 250,"               7,792"
2021.11,Åº»êÄ®·ý,2836400000,"               5,180.6",                 328.3,"               4,051",                 333,"               3,718"
2021.12,Åº»êÄ®·ý,2836400000,"              12,075.9",                 163.4,"               9,590",                 178,"               9,412"
2022.01,Åº»êÄ®·ý,2836400000,"               9,312.3",                 355.3,"               8,619",                 439,"               8,180"
2022.02,Åº»êÄ®·ý,2836400000,"              11,615.5",                 376.5,"              11,101",                 451,"              10,650"
2022.03,Åº»êÄ®·ý,2836400000,"              14,662.5",                 342.1,"              14,282",                 528,"              13,754"
2022.04,Åº»êÄ®·ý,2836400000,"              12,247.8",                 480.1,"              12,905",                 614,"              12,291"
2022.05,Åº»êÄ®·ý,2836400000,"              12,949.3",                 323.7,"              14,906",                 447,"              14,459"
2022.06,Åº»êÄ®·ý,2836400000,"               9,914.4",                 369.2,"              11,682",                 471,"              11,211"
2022.07,Åº»êÄ®·ý,2836400000,"               9,582.9",                 140.2,"              13,369",                 190,"              13,179"
2022.08,Åº»êÄ®·ý,2836400000,"               6,913.6",                 220.3,"              10,870",                 343,"              10,527"
2022.09,Åº»êÄ®·ý,2836400000,"               8,638.7",                 185.9,"              13,218",                 307,"              12,911"
